created_date,address,borough,status,latitude,longitude
2026-03-18 15:54:00,1074 70 STREET,BROOKLYN,Started,40.62622455077,-74.00959336562
2026-03-18 14:45:00,35-63 83 STREET,QUEENS,Closed,40.75150062566,-73.88367054657
2026-03-18 14:40:00,37 ROANOKE STREET,STATEN ISLAND,Closed,40.59747493307,-74.1338064292
2026-03-18 13:57:00,,MANHATTAN,Closed,40.71939633295,-74.00188311583
2026-03-18 13:20:00,2277 EAST   29 STREET,BROOKLYN,Started,40.59654465872,-73.94215931409
2026-03-18 13:04:00,,STATEN ISLAND,Closed,40.60957026711,-74.11439299671
2026-03-18 12:12:00,,QUEENS,Closed,40.72758895408,-73.7372979089
2026-03-18 12:08:00,,QUEENS,Closed,40.67965331374,-73.77722868517
2026-03-18 11:28:00,3702 ATLANTIC AVENUE,BROOKLYN,Started,40.57334639911,-74.00267811253
2026-03-18 10:23:00,,BROOKLYN,Closed,40.70191142679,-73.93697904524
2026-03-18 09:55:00,31-10 THOMSON AVENUE,QUEENS,Closed,40.7449014918,-73.93502206204
2026-03-18 09:34:00,94-24 MERRICK BOULEVARD,QUEENS,Started,40.7033492186,-73.79202330115
2026-03-18 09:22:00,120-56 166 STREET,QUEENS,Closed,40.68063433089,-73.7778130909
2026-03-18 08:56:00,,BROOKLYN,Closed,40.65710926663,-74.00151013185
2026-03-18 08:47:00,,QUEENS,Closed,40.703219382,-73.73426337581
2026-03-18 08:38:00,101-21 132 STREET,QUEENS,Closed,40.69224740037,-73.81499596204
2026-03-18 08:18:00,,QUEENS,Closed,40.72551220457,-73.73655205503
2026-03-17 23:34:00,221-21 113 DRIVE,QUEENS,Closed,40.7025370286,-73.73593234763
2026-03-17 22:56:00,850 FLUSHING AVENUE,BROOKLYN,Closed,40.70164844868,-73.9379350275
2026-03-17 22:53:00,580 FLUSHING AVENUE,BROOKLYN,Closed,40.6997414056,-73.95042950673
2026-03-17 22:42:00,,BROOKLYN,Closed,40.70191142679,-73.93697904524
2026-03-17 19:10:00,195 BEACH   62 STREET,QUEENS,Closed,40.59155541058,-73.79135251408
2026-03-17 17:46:00,317 EAST   11 STREET,MANHATTAN,Closed,40.72984742082,-73.98510228979
2026-03-17 17:38:00,65-46 79 PLACE,QUEENS,Closed,40.71685077161,-73.87322276232
2026-03-17 17:35:00,107-01 142 STREET,QUEENS,Closed,40.68961909802,-73.80735874879
2026-03-17 17:30:00,,QUEENS,Closed,40.71332154842,-73.80489507641
2026-03-17 16:43:00,493 PARK PLACE,BROOKLYN,Started,40.67519093887,-73.96155510099
2026-03-17 15:27:00,164-46 84 AVENUE,QUEENS,Closed,40.71541848761,-73.8000587696
2026-03-17 15:04:00,26-50 95 STREET,QUEENS,Closed,40.76189583556,-73.87403947502
2026-03-17 15:01:00,1470 REMSEN AVENUE,BROOKLYN,Open,40.63489620916,-73.90004379113
2026-03-17 14:42:00,3410 FARRAGUT ROAD,BROOKLYN,Closed,40.63651247884,-73.94394419739
2026-03-17 14:14:00,1558 GLOVER STREET,BRONX,Closed,40.83773559699,-73.85111733014
2026-03-17 14:05:00,57 CRESCENT STREET,BROOKLYN,Closed,40.68800365015,-73.8735804968
