SPDES Permit Number,Outfall Number,CSO Identification Number,Facility Name,Facility Owner Name,Receiving Waterbody Name,Number of Permitted Outfalls,Discharge Activation Type,Number of Overflow Events,Timeframe of Overflow Events Information,Data as of,DEC Region,County,Latitude,Longitude
NY0026131,40,NY0026131-040,NYCDEP - Wards Island WPCP,NYC DEP,Harlem River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.816218,-73.933809
NY0026204,76,NY0026204-076,NYCDEP - Newtown Creek WPCP,NYC DEP,Hudson River,79,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.729891,-74.011222
NY0026191,3,NY0026191-003,NYCDEP - Hunt's Point WPCP,NYC DEP,East River,33,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Bronx,40.801264,-73.874772
NY0026131,78,NY0026131-078,NYCDEP - Wards Island WPCP,NYC DEP,Harlem River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.874169,-73.910978
NY0026107,32,NY0026107-032,NYCDEP - Port Richmond WPCF,NYC DEP,Upper New York Bay,36,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Richmond,40.637582,-74.06954
NY0026247,17,NY0026247-017,NYCDEP - North River WPCF,NYC DEP,Harlem River,52,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.859481,-73.918842
NY0026204,65,NY0026204-065,NYCDEP - Newtown Creek WPCP,NYC DEP,East River,79,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.708885,-73.996332
NY0027073,6,NY0027073-006,NYCDEP - Red Hook WPCP,NYC DEP,East River,32,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.705163,-73.987472
NY0026107,23,NY0026107-023,NYCDEP - Port Richmond WPCF,NYC DEP,Upper New York Bay,36,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Richmond,40.611823,-74.060228
NY0026107,16,NY0026107-016,NYCDEP - Port Richmond WPCF,NYC DEP,Upper New York Bay,36,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Richmond,40.62454,-74.072185
NY0026131,33,NY0026131-033,NYCDEP - Wards Island WPCP,NYC DEP,East River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.798301,-73.928975
NY0026191,25,NY0026191-025,NYCDEP - Hunt's Point WPCP,NYC DEP,East River,33,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Bronx,40.806386,-73.892023
NY0026191,9,NY0026191-009,NYCDEP - Hunt's Point WPCP,NYC DEP,East River,33,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Bronx,40.814488,-73.870733
NY0026131,25,NY0026131-025,NYCDEP - Wards Island WPCP,NYC DEP,East River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.793185,-73.932801
NY0026204,54,NY0026204-054,NYCDEP - Newtown Creek WPCP,NYC DEP,East River,79,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.722615,-73.972544
NY0026131,47,NY0026131-047,NYCDEP - Wards Island WPCP,NYC DEP,Harlem River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.827509,-73.934486
NY0026247,55,NY0026247-055,NYCDEP - North River WPCF,NYC DEP,Harlem River,52,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.863132,-73.915479
NY0027073,7,NY0027073-007,NYCDEP - Red Hook WPCP,NYC DEP,East River,32,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.70455,-73.988457
NY0027073,22,NY0027073-022,NYCDEP - Red Hook WPCP,NYC DEP,Atlantic Basin,32,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.683281,-74.009666
NY0026247,22,NY0026247-022,NYCDEP - North River WPCF,NYC DEP,Hudson River,52,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.744523,-74.008776
NY0026221,32,NY0026221-032,NYCDEP - Rockaway WWTP,NYC DEP,Jamaica Bay,10,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Queens,40.586936,-73.821177
NY0026191,13,NY0026191-013,NYCDEP - Hunt's Point WPCP,NYC DEP,Pugsley Creek,33,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Bronx,40.813788,-73.853002
NY0026158,37,NY0026158-037,NYCDEP - Bowery Bay WPCP,NYC DEP,East River,44,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Queens,40.786129,-73.915523
NY0026247,30,NY0026247-030,NYCDEP - North River WPCF,NYC DEP,Hudson River,52,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.763616,-74.00346
NY0027073,030A,NY0027073-030A,NYCDEP - Red Hook WPCP,NYC DEP,Gowanus Canal,32,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.668597,-74.007238
NY0026221,1,NY0026221-001,NYCDEP - Rockaway WWTP,NYC DEP,Jamaica Bay,10,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Queens,40.584534,-73.829805
NY0026131,70,NY0026131-070,NYCDEP - Wards Island WPCP,NYC DEP,East River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.798985,-73.908344
NY0026107,24,NY0026107-024,NYCDEP - Port Richmond WPCF,NYC DEP,Newark Bay,36,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Richmond,40.644367,-74.17156
NY0026191,5,NY0026191-005,NYCDEP - Hunt's Point WPCP,NYC DEP,Hutchinson River,33,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Bronx,40.886835,-73.820426
NY0026191,14,NY0026191-014,NYCDEP - Hunt's Point WPCP,NYC DEP,Westchester Creek,33,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Bronx,40.839542,-73.840058
